state,state_abbr,threshold_type,threshold_value,threshold_unit,adjustment_method,notes,statute_citation,source
Alabama,AL,overnights,182,overnights_per_year,cross_credit,"Shared 50% physical custody adjustment (SPCA) applies 150% multiplier when parents share equal custody; no defined threshold below 50% for graduated adjustment","Ala. R. Jud. Admin. 32(C)(7)",https://judicial.alabama.gov/docs/library/rules/ja32.pdf
Alaska,AK,overnights,110,overnights_per_year,cross_credit,"Shared custody applies when each parent has 30%+ overnights (110/yr); each parent's obligation calculated and offset based on income shares and time percentages","Alaska R. Civ. P. 90.3(b)",https://courts.alaska.gov/rules/docs/civ90-3commentary.pdf
Arizona,AZ,days,0,days_per_year,sliding_scale,"Parenting time table uses guideline days (12+ hrs = 1 day); adjustment percentage scales from 0 to 50% at 164+ days; no minimum threshold to begin receiving credit","A.R.S. 25-320 Guidelines Section 11",https://superiorcourt.maricopa.gov/media/0zqj3ip2/child-support-guidelines-2022.pdf
Arkansas,AR,overnights,141,overnights_per_year,judicial_discretion,"Court may adjust support when payor parent has 141+ overnights; completion of separate worksheet required; adjustment amount at court's discretion","Ark. Admin. Order No. 10 Section V",https://law.justia.com/codes/arkansas/title-9/subtitle-2/appendix-title/section-v/
California,CA,percentage,0,percent_of_time,formula_reduction,"Timeshare formula CS=K[HN-(H%)(TN)] integrates parenting time percentage directly; no threshold required; H% = percentage of time with higher earner","Cal. Fam. Code 4055",https://codes.findlaw.com/ca/family-code/fam-sect-4055/
Colorado,CO,overnights,0,overnights_per_year,sliding_scale,"2026 changes removed 93-overnight threshold; new parenting time table starts at 0 overnights (0% credit) scaling to 50% at 182.5 overnights; nonlinear curve","C.R.S. 14-10-115(8)(h)",https://leg.colorado.gov/bills/hb25-1159
Connecticut,CT,percentage,40,percent_of_time,cross_credit,"Shared custody found when parenting time substantially exceeds standard visitation; no fixed overnight count; court applies cross-credit calculation at approximately equal time","Conn. Child Support Guidelines Section 3(c)",https://www.jud.ct.gov/publications/childsupport/csguidelines.pdf
Delaware,DE,overnights,80,overnights_per_year,sliding_scale,"Graduated credits: 0-79 overnights = 0%; 80-124 = 10% credit; 125-163 = 30% credit; 164+ overnights triggers joint custody calculation using Melson formula","13 Del.C. 514; Del. Fam. Ct. R. Civ. P. 52(c)",https://courts.delaware.gov/forms/download.aspx?id=122518
Florida,FL,overnights,73,overnights_per_year,cross_credit,"Substantial time-sharing at 20%+ overnights (73/yr); basic obligation multiplied by 1.5 then cross-credited based on each parent's overnight percentage and income share","Fla. Stat. 61.30(11)(b)",https://codes.findlaw.com/fl/title-vi-civil-practice-and-procedure/fl-st-sect-61-30/
Georgia,GA,days,0,days_per_year,formula_reduction,"Mandatory parenting time adjustment effective Jan 1 2026 using nonlinear x^2.5 formula; court-ordered days raised to power of 2.5 for each parent; replaces discretionary deviation","O.C.G.A. 19-6-15(i)(2)(G)",https://law.justia.com/codes/georgia/title-19/chapter-6/section-19-6-15-d-1/
